Date,AAPL,MSFT,GOOGL,AMZN,TSLA,NVDA,BRK.B,UNH,JNJ,V,PG,JPM,XOM,BAC,PFE,HD,MA,KO,DIS,NFLX
1/2/14,-0.000361641,0.00051146,0.000785982,0.000481737,0.005210094,3.16207441771823e-05,-0.000190129,0.000531537,0.000354469,0.000342538,1.25649618450876e-05,-3.03E-05,-0.000199901,-0.000103545,2.78530288969898e-06,0.000266863,0.000918247,-0.000367275,0.000520404,0.004761343
2/3/14,0.000174253,0.000700202,0.000848423,0.000140448,0.005714356,0.000381254,-0.000256721,0.000555131,0.000235279,0.000490381,-0.000286996,-1.65E-05,-0.000369386,0.000645825,2.61196478838332e-05,-3.68E-05,0.00064074,-0.000443165,0.000265136,0.003182636
3/5/14,0.000508082,0.00063625,0.000611441,-4.51E-05,0.007002543,0.000734753,-0.00033635,0.000945097,0.00011881,0.000350313,-0.000348806,-0.000143968,-0.000364262,0.000638877,9.1103480841662e-05,5.82488637264684e-05,0.000519494,-0.000577993,0.00051952,0.002821088
4/3/14,0.000677866,0.000927792,0.000617799,-0.000110264,0.006484246,0.000922114,-0.000308936,0.000417821,0.000204666,0.000144949,-0.000211675,-8.85E-05,-0.000258652,0.0001786,-2.31E-05,1.47422762842956e-05,0.000353466,-0.000704763,0.000486974,0.002402549
5/5/14,0.00119706,0.000296927,0.000286522,-0.000140958,0.005657897,0.000598754,-0.000175508,0.00037847,0.000200595,-7.91E-05,-8.40E-05,-0.000404813,5.6525758750608e-05,-0.000255448,-0.000258902,-0.000113363,0.000403984,-0.000471681,0.000139182,0.001550492
6/4/14,0.001360917,9.91657957761121e-05,0.0003203,-0.000355577,0.002950752,0.00050121,-0.000344687,0.000446595,0.000272315,-8.45E-05,-0.000244759,-0.000747595,-0.000126952,-0.000469193,-0.000238691,-0.000223575,0.000306759,-0.00052146,0.000187015,0.002097183
7/3/14,0.001651429,0.000173204,0.000162602,-0.000637492,0.002293843,0.000417318,-0.000375728,0.000215887,0.000118893,-0.000366252,-0.000336192,-0.000703102,-0.000107785,-0.00027932,-0.000271236,-0.000303158,-0.000111626,-0.000342236,0.000150492,0.002319064
8/4/14,0.001419737,0.000816302,0.000413837,-0.000559937,0.002520386,0.000394611,-0.000195828,8.52933611526931e-05,-0.000228597,-2.08E-05,-0.000387957,-0.000541882,-0.000113508,-0.000535413,-0.000535174,-0.000288294,-8.55E-05,-0.00041593,0.000430765,0.002078262
9/3/14,0.001272173,0.000728159,0.000322751,-0.000502336,0.002310347,0.000397276,-0.000106939,-9.89E-05,3.59020370682125e-05,-0.000146571,-0.000159859,-0.000424026,-0.000229608,-0.00057865,-0.000539355,0.000286289,-0.000297914,-0.000148865,0.000590812,0.001737556
10/2/14,0.001280721,0.000714608,0.000480616,-0.000669774,0.002209339,0.000231372,7.16625863832723e-05,-1.51E-05,0.000144046,-0.00028946,3.30378993477553e-05,-0.000150008,-0.000262809,0.000194603,-0.000536495,0.000495758,-0.000449505,0.000131781,0.000465065,0.001408727
10/31/14,0.001199577,0.000635558,-0.000252376,-0.001300802,0.001778143,0.000573644,0.000222708,0.000773086,0.00011193,0.000219597,7.52915415947462e-05,8.57090677079676e-05,-0.000167474,0.000300387,-0.000539173,0.000507297,-9.05E-05,4.75800834169365e-05,0.000424035,0.000543721
12/2/14,0.001148181,0.000416975,-0.000583139,-0.001349946,0.002472838,0.000713052,0.000506379,0.000664394,-8.98E-06,0.000350791,7.35077709079697e-05,-0.000174021,-0.000356838,-1.60E-05,-0.000511761,0.000397726,-0.000139898,0.000200292,0.000375629,-0.000400722
1/2/15,0.000982854,0.000478827,-0.00073709,-0.0014144,0.001346922,0.000639995,0.000485193,0.000776892,0.000130664,0.000229422,0.000289043,-0.000116147,-0.000617424,9.99970462789235e-05,-0.000221171,0.000592395,-0.000525539,-3.20E-05,0.00028582,-0.000298921
2/3/15,0.001416724,-0.000242507,-0.00094945,-0.00035833,0.000381275,0.000462831,0.000594935,0.001020926,0.000101437,7.24979229721246e-05,0.000180153,-0.000464223,-0.000433818,-0.000674834,-0.000298558,0.00087403,-0.000354762,0.000181266,0.000506255,-0.000160392
3/5/15,0.001467742,-0.000113004,-0.000743674,-0.000276746,-0.001166898,0.000455014,0.000411688,0.001029096,-1.41E-05,0.000276921,0.000106724,8.12449045201685e-06,-0.000513313,-0.000402387,-0.000207156,0.000911549,-5.56E-06,0.000208421,0.000474817,-0.000314699
4/6/15,0.001422419,-0.000453261,-0.000791837,-6.71E-05,-0.000973221,0.000129906,0.000269791,0.000969528,-0.000399419,0.000251124,-3.10E-05,-0.000111742,-0.0005539,-0.000289552,-9.73E-05,0.001091746,-3.50E-05,0.000236315,0.000636166,0.000285428
